Start,End,Colour
2017-08-04 06:20:00,2017-08-04 08:20:00,Amber
2017-08-23 08:00:00,2017-08-23 12:10:00,Amber
2017-08-27 05:10:00,2017-08-27 14:10:00,Amber
2017-08-28 06:15:00,2017-08-28 08:55:00,Amber
2017-09-23 08:00:00,2017-09-23 08:50:00,Amber
2017-10-17 03:10:00,2017-10-17 04:20:00,Amber
2018-06-06 13:10:00,2018-06-06 14:50:00,Amber
2018-06-08 06:50:00,2018-06-08 11:30:00,Amber
2018-06-08 11:30:00,2018-06-08 12:30:00,Red
2018-06-08 12:30:00,2018-06-08 14:15:00,Amber
2018-06-13 02:10:00,2018-06-13 05:45:00,Amber
2018-06-13 15:00:00,2018-06-13 18:15:00,Amber
2018-06-22 12:15:00,2018-06-22 16:15:00,Amber
